State_Name,District_Name,Project_Objectives_IHHL_BPL,Project_Objectives_IHHL_APL,Project_Objectives_IHHL_TOTAL,Project_Objectives_SCW,Project_Objectives_School_Toilets,Project_Objectives_Anganwadi_Toilets,Project_Objectives_RSM,Project_Objectives_PC,Project_Performance-IHHL_BPL,Project_Performance-IHHL_APL,Project_Performance-IHHL_TOTAL,Project_Performance-SCW,Project_Performance-School_Toilets,Project_Performance-Anganwadi_Toilets,Project_Performance-RSM,Project_Performance-PC
RAJASTHAN,BARMER,112891,171707,284598,60,4394,1980,10,0,79808,78762,158570,29,3926,895,8,8
RAJASTHAN,BHARATPUR,45606,199450,245056,50,794,586,10,0,7332,47887,55219,7,602,188,18,0
RAJASTHAN,BHILWARA,104663,174671,279334,50,4500,1519,10,0,64728,135832,200560,5,4500,714,32,0
RAJASTHAN,BIKANER,63295,120000,183295,85,2764,917,10,0,40790,74245,115035,66,2950,351,10,0
RAJASTHAN,BUNDI,41413,125545,166958,20,1898,296,10,0,28824,79688,108512,19,1898,284,5,0
RAJASTHAN,CHITTORGARH,56149,189366,245515,50,2800,1071,14,0,33968,128561,162529,50,2669,819,14,4
RAJASTHAN,CHURU,40000,101217,141217,42,1312,950,10,0,37907,99856,137763,13,1274,468,6,0
RAJASTHAN,DAUSA,43276,214288,257564,50,2073,954,10,0,14281,124094,138375,0,7681,158,9,0
RAJASTHAN,DHOLPUR,29882,100462,130344,50,1002,384,10,0,8309,66253,74562,1,1025,503,4,0
RAJASTHAN,DUNGARPUR,130459,37264,167723,50,3768,1481,10,0,107940,41000,148940,14,3383,1227,9,0
RAJASTHAN,GANGANAGAR,31756,134637,166393,20,3600,858,10,0,32342,112374,144716,6,3555,811,1,0
RAJASTHAN,HANUMANGARH,31621,35602,67223,50,1246,227,10,0,31621,35603,67224,11,1216,95,6,0
RAJASTHAN,JAIPUR,60791,315869,376660,50,7043,1108,10,0,20168,225330,245498,9,7021,1829,16,1
RAJASTHAN,JAISALMER,17497,61888,79385,56,2674,484,10,0,16549,39729,56278,52,2006,478,12,0
RAJASTHAN,JALOR,67713,133481,201194,50,3011,960,10,0,14730,76669,91399,0,2764,168,14,0
RAJASTHAN,JHALAWAR,55229,143234,198463,50,2452,1179,12,0,22190,37360,59550,24,2450,1065,5,0
RAJASTHAN,JHUNJHUNU,21440,177396,198836,50,1755,902,10,0,8146,186555,194701,29,1755,655,0,0
RAJASTHAN,JODHPUR,70837,248282,319119,50,4996,906,10,0,48878,211126,260004,34,2739,750,0,0
RAJASTHAN,KARAULI,68530,148819,217349,56,3969,672,10,0,45901,51940,97841,51,2883,541,5,0
RAJASTHAN,KOTA,47767,87135,134902,50,1510,1398,10,0,20152,33133,53285,5,1522,20,5,0
RAJASTHAN,NAGAUR,41537,256360,297897,50,2793,1855,10,0,41109,244781,285890,14,2793,761,11,0
RAJASTHAN,PALI,46444,228892,275336,50,1560,753,10,0,34076,178303,212379,11,1366,422,10,0
RAJASTHAN,RAJSAMAND,69568,121350,190918,35,2401,677,10,0,37635,69714,107349,35,2211,392,2,0
RAJASTHAN,SAWAI MADHOPUR,38914,137304,176218,50,1021,723,3,0,20797,56603,77400,3,1021,353,2,2
RAJASTHAN,SIKAR,28460,228307,256767,58,2962,659,10,0,23748,212107,235855,13,2987,123,0,0
RAJASTHAN,SIROHI,36060,79445,115505,50,1137,391,10,0,26023,59298,85321,20,1137,353,10,5
RAJASTHAN,TONK,41916,182977,224893,50,1812,724,10,0,15016,36688,51704,18,1564,274,0,10
RAJASTHAN,UDAIPUR,218401,206871,425272,22,3848,2256,10,0,111431,150422,261853,19,3819,1673,0,0
SIKKIM,EAST SIKKIM,24109,18000,42109,225,464,36,7,0,26852,18000,44852,271,464,87,0,0
SIKKIM,NORTH SIKKIM,4978,1031,6009,135,272,63,3,0,5461,1035,6496,147,272,88,0,0
SIKKIM,SOUTH SIKKIM,8970,7681,16651,205,438,82,1,0,12446,7929,20375,279,439,82,0,0
SIKKIM,WEST SIKKIM,13245,9000,22245,224,430,159,1,0,13345,9532,22877,216,431,159,0,0
TAMIL NADU,COIMBATORE,190006,163561,353567,10,1026,812,14,0,179517,164248,343765,10,1010,802,4,0
