Date,State_Name,SL_No,District_Name,Sanction_Date,Reported_Month_Year,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC
03-12-2012,SIKKIM,2,NORTH SIKKIM,18-03-2002,Aug-12,4978,1031,6009,135,272,63,3,0,5461,1035,6496,147,272,88,0,0
03-12-2012,SIKKIM,3,SOUTH SIKKIM,25-11-1999,Aug-12,8970,7681,16651,205,438,82,1,0,12446,7929,20375,279,439,82,0,0
03-12-2012,SIKKIM,4,WEST SIKKIM,25-11-1999,Aug-12,13245,9000,22245,224,430,159,1,0,13345,9532,22877,216,431,159,0,0
03-12-2012,SIKKIM,4,Total,,,51302,35712,87014,789,1604,340,12,0,58104,36496,94600,913,1606,416,0,0
03-12-2012,TAMIL NADU,1,COIMBATORE,25-11-1999,Oct-12,190006,163561,353567,10,1026,812,14,0,173419,164248,337667,10,1010,802,4,0
03-12-2012,TAMIL NADU,2,CUDDALORE,25-11-1999,Nov-12,242992,104369,347361,69,2635,1486,10,0,235171,102595,337766,23,2619,1486,10,13
03-12-2012,TAMIL NADU,3,DHARMAPURI,29-01-2002,Oct-12,152872,60203,213075,0,2507,715,4,0,152646,62320,214966,0,2359,715,1,0
03-12-2012,TAMIL NADU,4,DINDIGUL,20-02-2003,Oct-12,131516,319776,451292,20,1368,1374,10,0,112108,229927,342035,20,1267,1226,10,0
03-12-2012,TAMIL NADU,5,ERODE,02-03-2001,Nov-12,165306,110521,275827,63,2798,752,10,0,165306,144602,309908,63,2450,714,10,0
03-12-2012,TAMIL NADU,6,KANCHIPURAM,26-06-2002,Oct-12,147350,240767,388117,58,1955,1497,10,0,154080,153680,307760,31,1670,1236,8,7
03-12-2012,TAMIL NADU,7,KANYAKUMARI(NAGERCOIL),22-03-2001,Oct-12,76233,10568,86801,43,557,367,5,0,83082,7225,90307,21,427,357,2,0
03-12-2012,TAMIL NADU,8,KARUR,26-06-2002,Oct-12,105280,72598,177878,108,932,418,10,0,105280,54519,159799,98,658,419,10,6
03-12-2012,TAMIL NADU,9,KRISHNAGIRI,27-12-2004,Oct-12,204772,85863,290635,40,2774,924,6,0,144036,71306,215342,337,2559,866,6,0
03-12-2012,TAMIL NADU,10,MADURAI,29-01-2002,Oct-12,153151,224536,377687,0,1845,881,10,0,122175,111326,233501,444,1333,831,7,0
03-12-2012,TAMIL NADU,11,NAGAPATTINAM,02-05-2003,Oct-12,131000,140933,271933,50,1934,646,10,0,103643,85838,189481,1,1183,646,6,6
03-12-2012,TAMIL NADU,12,NAMAKKAL,20-02-2003,Oct-12,117538,113278,230816,50,1027,673,4,0,117538,72042,189580,50,1027,673,4,0
03-12-2012,TAMIL NADU,13,NILGIRIS(UDHAGAMANDALAM),02-05-2003,Nov-12,43000,51545,94545,75,839,271,4,0,34393,22403,56796,59,839,270,1,0
03-12-2012,TAMIL NADU,14,PERAMBALUR,03-03-2000,Oct-12,181496,94081,275577,49,1256,1185,10,0,170209,50692,220901,59,1146,744,11,4
03-12-2012,TAMIL NADU,15,PUDUKKOTTAI,26-06-2002,Oct-12,176710,77100,253810,50,3826,1306,10,0,198097,64327,262424,50,3548,1306,0,10
03-12-2012,TAMIL NADU,16,RAMANATHAPURAM,26-06-2002,Oct-12,105000,109870,214870,52,1460,821,10,0,156708,58018,214726,6,1325,821,5,0
03-12-2012,TAMIL NADU,17,SALEM,20-02-2003,Oct-12,232463,233736,466199,128,2108,1253,10,0,186560,125412,311972,32,1968,1038,4,1
03-12-2012,TAMIL NADU,18,SIVAGANGA,20-02-2003,Oct-12,125730,130058,255788,10,851,601,6,0,118232,52256,170488,12,851,601,9,0
03-12-2012,TAMIL NADU,19,THANJAVUR,20-02-2003,Oct-12,177761,196183,373944,25,4540,1022,10,0,121000,114012,235012,25,2565,846,2,0
03-12-2012,TAMIL NADU,20,THENI,26-06-2002,Aug-12,73362,71577,144939,35,440,552,7,0,68766,55735,124501,34,390,525,5,0
03-12-2012,TAMIL NADU,21,THOOTHUKUDI,20-02-2003,Oct-12,91637,253636,345273,54,260,718,4,0,82186,119500,201686,5,255,695,15,2
03-12-2012,TAMIL NADU,22,TIRUCHIRAPPALLI,29-01-2002,Nov-12,77747,166886,244633,5,929,1027,10,0,77747,124832,202579,5,716,859,10,0
03-12-2012,TAMIL NADU,23,TIRUNELVELI,26-06-2002,Oct-12,125763,155744,281507,19,557,907,10,0,133739,106539,240278,19,557,842,10,5
