Date,State_Name,SL_No,District_Name,Sanction_Date,Reported_M_or_Y,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total
3/15/2013,GUJARAT,8,DANGS,24-09-2004,13-Feb,807.73,528.9,181.13,97.7,431.95,211.46,72.24,715.65,365.85,187.52,72.24,625.62
3/15/2013,GUJARAT,9,GANDHINAGAR,23-04-2002,13-Feb,696.41,485.75,148.61,62.05,358.41,108.85,24.54,491.8,234.21,78.92,24.32,337.45
3/15/2013,GUJARAT,10,JAMNAGAR,24-09-2004,13-Feb,2182.87,1459.78,519.77,203.32,1159.73,503.48,145.35,1808.56,1085.63,412.82,145.26,1643.71
3/15/2013,GUJARAT,11,JUNAGADH,24-09-2004,13-Feb,2207.5,1511.29,479.58,216.63,1191.17,345.89,149.19,1686.25,832.27,292.67,146.36,1271.3
3/15/2013,GUJARAT,12,KACHCHH,24-09-2004,13-Feb,1929.39,1254.55,487.86,186.98,890.2,333.06,100.75,1324.01,603.24,232.29,78.64,914.17
3/15/2013,GUJARAT,13,KHEDA,24-09-2004,13-Feb,4524.98,2938.23,1105.86,480.89,2135.25,1089.42,36.27,3260.94,1820.72,859.7,36.12,2716.54
3/15/2013,GUJARAT,14,MAHESANA,7/2/2000,13-Feb,2434.98,1611.23,591.71,232.04,1158.74,320.68,127.37,1606.79,977.13,225.71,126.82,1329.66
3/15/2013,GUJARAT,15,NARMADA,24-09-2004,13-Feb,1990.23,1321.12,468.09,201.02,1053.6,466.48,245.5,1765.58,923.92,404.41,245.5,1573.83
3/15/2013,GUJARAT,16,NAVSARI,24-09-2004,13-Feb,2111.87,1378.84,490.67,242.36,1131.55,628.38,476.84,2236.77,961.96,531.09,242.8,1735.85
3/15/2013,GUJARAT,17,PANCH MAHALS,24-09-2004,13-Feb,4868.75,3146.22,1133.76,588.77,2551.13,1100.09,4040.29,7691.51,2870.02,933.95,3594.28,7398.24
