Date,State_Name,SL_No,District_Name,Date_of_Sanction,Project_Cost_Lakhs,ApprShare_Central,ApprShare_State,ApprShare_Beneficiary,CompSanc_IHHL_BPL,CompSanc_IHHL_APL,CompSanc_IHHL_TOTAL,CompSanc_IHHL_SCW,CompSanc_School_Toilets,CompSanc_Anganwadi_Toilets,CompSanc_RSM_PC
3/15/2013,CHHATTISGARH,3,DANTEWADA,20-02-2003,3863.51,2607.83,958.9,296.78,84452,30459,114911,20,2435,1020,5
3/15/2013,CHHATTISGARH,4,DHAMTARI,15-07-2005,1790.9,1209.77,423.23,157.9,38501,73490,111991,50,1810,321,10
3/15/2013,CHHATTISGARH,5,DURG,11/6/2001,4109.09,2731.95,1007.01,370.13,101957,307630,409587,47,2436,300,10
3/15/2013,CHHATTISGARH,6,JANJGIR - CHAMPA,17-05-2005,4875.91,3278.78,1174.32,422.81,111603,83716,195319,50,2908,52,10
3/15/2013,CHHATTISGARH,7,JASHPUR,20-02-2006,2793.34,1891.6,684.27,217.47,56623,76903,133526,24,3226,339,0
3/15/2013,CHHATTISGARH,8,KANKER,15-07-2005,2331.57,1572.42,560.64,198.51,50835,60565,111400,50,1737,344,10
3/15/2013,CHHATTISGARH,9,KAWARDHA(KABIRDHAM),20-02-2006,2123.92,1426.8,504.44,192.68,53025,46800,99825,12,1348,141,4
3/15/2013,CHHATTISGARH,10,KORBA,11/3/2005,2581.53,1754.04,616.22,211.27,50691,74471,125162,50,3618,1223,0
3/15/2013,CHHATTISGARH,11,KORIYA,20-02-2006,1988.2,1356.82,479.41,151.97,38296,39493,77789,15,2282,952,5
3/15/2013,CHHATTISGARH,12,MAHASAMUND,20-02-2003,4580.44,3084.4,1117.73,378.31,98828,81327,180155,50,4083,140,3
3/15/2013,CHHATTISGARH,13,RAIGARH,20-02-2006,5229.56,3503.55,1256.76,469.25,128423,77298,205721,50,2007,942,0
3/15/2013,CHHATTISGARH,14,RAIPUR,7/11/2003,6394.94,4274.37,1529.4,591.17,163722,277297,441019,50,4257,511,15
3/15/2013,CHHATTISGARH,15,RAJNANDGAON,20-02-2003,4789.13,3248.56,1202.72,337.85,89706,117846,207552,0,5285,619,10
3/15/2013,CHHATTISGARH,16,SURGUJA,31-07-2006,5995.86,3952.99,1441.53,601.34,168885,202220,371105,50,4565,498,0
3/15/2013,CHHATTISGARH,,Total,,67877.81,45596.64,16475.61,5805.56,1568600,1823853,3392453,618,52338,10211,106
3/15/2013,D & N HAVELI,2,ARUNACHAL PRADESH,16,6700.94,4662.35,1562.98,475.61,115560,18301,133861,318,3944,1866,39
3/15/2013,D & N HAVELI,3,ASSAM,26,92814.8,65248.07,20582.96,6983.77,2220017,1161020,3381037,211,34772,16819,115
3/15/2013,D & N HAVELI,4,BIHAR,38,293380.8,197840.73,71151.11,24388.96,6195779,4975535,11171314,2362,102268,16444,364
3/15/2013,D & N HAVELI,5,CHHATTISGARH,16,67877.81,45596.64,16475.61,5805.56,1568600,1823853,3392453,618,52338,10211,106
3/15/2013,D & N HAVELI,6,D & N HAVELI,1,91,80.69,0,10.31,2480,0,2480,12,0,0,1
3/15/2013,D & N HAVELI,7,GOA,2,1059.43,634.96,292.25,132.22,17935,27388,45323,150,731,547,3
3/15/2013,D & N HAVELI,8,GUJARAT,25,70231.96,43924.9,17352.98,8954.08,2046857,3331630,5378487,1671,40439,30516,168
3/15/2013,D & N HAVELI,9,HARYANA,20,23087.84,13922.67,5687,3478.17,636940,1458494,2095434,1335,9160,7599,17
3/15/2013,D & N HAVELI,10,HIMACHAL PRADESH,12,19632.55,13118.4,4997.33,1516.82,218167,632583,850750,1229,20738,10308,59
3/15/2013,D & N HAVELI,11,JAMMU & KASHMIR,21,40598.74,28374.07,9628.36,2596.31,703071,767732,1470803,1080,27277,1070,103
3/15/2013,D & N HAVELI,12,JHARKHAND,24,90728.43,60485.48,22185.77,8057.18,2327306,1402189,3729495,1203,42687,11472,249
3/15/2013,D & N HAVELI,13,KARNATAKA,29,108474.68,70077.23,26898.26,11499.19,2889224,2981691,5870915,1305,39267,26353,296
3/15/2013,D & N HAVELI,14,KERALA,14,22189.92,11873.91,5544.08,4771.93,961831,111911,1073742,1090,3600,4957,98
3/15/2013,D & N HAVELI,15,MADHYA PRADESH,50,170288.99,113086.85,41987.69,15214.45,3614346,4852847,8467193,1602,137730,27595,385
3/15/2013,D & N HAVELI,16,MAHARASHTRA,33,148969.04,97771.77,36414.52,14782.75,3623439,6104904,9728343,8210,87452,60076,355
3/15/2013,D & N HAVELI,17,MANIPUR,9,11274.03,7908.73,2579.5,785.8,194887,68367,263254,386,3919,1201,35
3/15/2013,D & N HAVELI,18,MEGHALAYA,7,14008.99,9562.87,3411.07,1035.05,216333,85500,301833,290,10331,1851,36
3/15/2013,D & N HAVELI,19,MIZORAM,8,6302.14,4331.58,1521.5,449.06,89903,18975,108878,560,5905,1630,20
3/15/2013,D & N HAVELI,20,NAGALAND,11,7957.58,5607.04,1759.75,590.79,180092,31254,211346,275,2972,1302,29
3/15/2013,D & N HAVELI,21,ORISSA,30,156204.83,104509.1,37841.95,13853.78,4485050,2571598,7056648,818,70663,25160,289
3/15/2013,D & N HAVELI,22,PUDUCHERRY,1,572.56,481.72,0,90.84,18000,0,18000,0,26,16,3
3/15/2013,D & N HAVELI,23,PUNJAB,20,24134.47,15139.89,6532.4,2462.18,623198,544370,1167568,411,7464,3274,81
