Date,State_Name,District_Name,Rural_Households,Census_2001_IHHL
06-03-13,PUNJAB,SANGRUR,215367,124746
06-03-13,PUNJAB,TARN TARAN,175080,14317
06-03-13,RAJASTHAN,AJMER,294870,24517
06-03-13,RAJASTHAN,ALWAR,505266,34049
06-03-13,RAJASTHAN,BANSWARA,339174,16203
06-03-13,RAJASTHAN,BARAN,191575,11470
06-03-13,RAJASTHAN,BARMER,416017,17977
06-03-13,RAJASTHAN,BHARATPUR,338086,17857
06-03-13,RAJASTHAN,BHILWARA,394235,25174
06-03-13,RAJASTHAN,BIKANER,242492,32022
06-03-13,RAJASTHAN,BUNDI,177525,10060
06-03-13,RAJASTHAN,CHITTORGARH,268363,21284
06-03-13,RAJASTHAN,CHURU,254921,51249
06-03-13,RAJASTHAN,DAUSA,256059,15159
06-03-13,RAJASTHAN,DHOLPUR,161598,5776
06-03-13,RAJASTHAN,DUNGARPUR,264893,12626
06-03-13,RAJASTHAN,GANGANAGAR,269763,166588
06-03-13,RAJASTHAN,HANUMANGARH,261513,152568
06-03-13,RAJASTHAN,JAIPUR,502634,43521
06-03-13,RAJASTHAN,JAISALMER,98284,5830
06-03-13,RAJASTHAN,JALOR,302242,18791
06-03-13,RAJASTHAN,JHALAWAR,237475,12145
06-03-13,RAJASTHAN,JHUNJHUNU,301647,60212
06-03-13,RAJASTHAN,JODHPUR,413367,26426
06-03-13,RAJASTHAN,KARAULI,225191,11899
06-03-13,RAJASTHAN,KOTA,149275,13997
06-03-13,RAJASTHAN,NAGAUR,483188,60892
06-03-13,RAJASTHAN,PALI,341833,32844
06-03-13,RAJASTHAN,RAJSAMAND,209743,16133
06-03-13,RAJASTHAN,SAWAI MADHOPUR,206526,13558
06-03-13,RAJASTHAN,SIKAR,347063,55876
06-03-13,RAJASTHAN,SIROHI,161080,15146
06-03-13,RAJASTHAN,TONK,214114,10851
06-03-13,RAJASTHAN,UDAIPUR,496777,32685
06-03-13,SIKKIM,EAST SIKKIM,32212,25404
06-03-13,SIKKIM,NORTH SIKKIM,7951,3569
06-03-13,SIKKIM,SOUTH SIKKIM,25476,14553
06-03-13,SIKKIM,WEST SIKKIM,26731,10912
06-03-13,TAMIL NADU,COIMBATORE,237155,59296
06-03-13,TAMIL NADU,CUDDALORE,425191,42252
06-03-13,TAMIL NADU,DHARMAPURI,315563,61249
06-03-13,TAMIL NADU,DINDIGUL,352757,39443
06-03-13,TAMIL NADU,ERODE,324097,73450
06-03-13,TAMIL NADU,KANCHIPURAM,354476,43399
06-03-13,TAMIL NADU,KANYAKUMARI(NAGERCOIL),86390,79509
06-03-13,TAMIL NADU,KARUR,168830,18089
06-03-13,TAMIL NADU,KRISHNAGIRI,344807,3126
06-03-13,TAMIL NADU,MADURAI,319126,41380
06-03-13,TAMIL NADU,NAGAPATTINAM,323340,48303
06-03-13,TAMIL NADU,NAMAKKAL,284156,39158
06-03-13,TAMIL NADU,NILGIRIS(UDHAGAMANDALAM),84366,25006
06-03-13,TAMIL NADU,PERAMBALUR,124419,7802
06-03-13,TAMIL NADU,PUDUKKOTTAI,312868,28526
